Timestamp,ECG_Value
2025-01-09 14:48:27.779,313.000000
2025-01-09 14:48:27.836,317.000000
2025-01-09 14:48:27.846,318.000000
2025-01-09 14:48:27.861,321.000000
2025-01-09 14:48:27.882,316.000000
2025-01-09 14:48:27.891,319.000000
2025-01-09 14:48:27.895,316.000000
2025-01-09 14:48:27.899,324.000000
2025-01-09 14:48:27.903,314.000000
2025-01-09 14:48:27.908,323.000000
2025-01-09 14:48:27.911,318.000000
2025-01-09 14:48:27.915,321.000000
2025-01-09 14:48:27.919,327.000000
2025-01-09 14:48:27.924,328.000000
2025-01-09 14:48:27.927,332.000000
2025-01-09 14:48:27.931,348.000000
2025-01-09 14:48:27.934,335.000000
2025-01-09 14:48:27.939,332.000000
2025-01-09 14:48:27.943,322.000000
2025-01-09 14:48:27.947,322.000000
2025-01-09 14:48:27.950,320.000000
2025-01-09 14:48:27.955,321.000000
2025-01-09 14:48:27.958,322.000000
2025-01-09 14:48:27.961,312.000000
2025-01-09 14:48:27.964,297.000000
2025-01-09 14:48:27.969,295.000000
2025-01-09 14:48:27.973,386.000000
2025-01-09 14:48:27.976,522.000000
2025-01-09 14:48:27.980,352.000000
2025-01-09 14:48:27.984,147.000000
2025-01-09 14:48:27.989,141.000000
2025-01-09 14:48:27.994,207.000000
2025-01-09 14:48:28.000,279.000000
2025-01-09 14:48:28.004,339.000000
2025-01-09 14:48:28.009,348.000000
2025-01-09 14:48:28.019,345.000000
2025-01-09 14:48:28.024,356.000000
2025-01-09 14:48:28.030,352.000000
2025-01-09 14:48:28.040,357.000000
2025-01-09 14:48:28.050,361.000000
2025-01-09 14:48:28.059,367.000000
2025-01-09 14:48:28.070,368.000000
2025-01-09 14:48:28.080,377.000000
2025-01-09 14:48:28.103,380.000000
2025-01-09 14:48:28.185,388.000000
2025-01-09 14:48:28.191,393.000000
2025-01-09 14:48:28.195,399.000000
2025-01-09 14:48:28.201,398.000000
2025-01-09 14:48:28.207,401.000000
2025-01-09 14:48:28.212,390.000000
2025-01-09 14:48:28.218,377.000000
2025-01-09 14:48:28.224,361.000000
2025-01-09 14:48:28.230,347.000000
2025-01-09 14:48:28.236,332.000000
2025-01-09 14:48:28.242,326.000000
2025-01-09 14:48:28.248,317.000000
2025-01-09 14:48:28.254,317.000000
2025-01-09 14:48:28.259,315.000000
2025-01-09 14:48:28.263,315.000000
2025-01-09 14:48:28.268,315.000000
2025-01-09 14:48:28.273,316.000000
2025-01-09 14:48:28.282,318.000000
2025-01-09 14:48:28.287,317.000000
2025-01-09 14:48:28.303,322.000000
2025-01-09 14:48:28.307,318.000000
2025-01-09 14:48:28.323,320.000000
2025-01-09 14:48:28.335,316.000000
2025-01-09 14:48:28.343,323.000000
2025-01-09 14:48:28.353,317.000000
2025-01-09 14:48:28.363,320.000000
2025-01-09 14:48:28.384,318.000000
2025-01-09 14:48:28.389,327.000000
2025-01-09 14:48:28.395,328.000000
2025-01-09 14:48:28.405,334.000000
2025-01-09 14:48:28.414,341.000000
2025-01-09 14:48:28.425,345.000000
2025-01-09 14:48:28.435,326.000000
2025-01-09 14:48:28.444,328.000000
2025-01-09 14:48:28.456,319.000000
2025-01-09 14:48:28.476,322.000000
2025-01-09 14:48:28.483,316.000000
2025-01-09 14:48:28.489,320.000000
2025-01-09 14:48:28.494,314.000000
2025-01-09 14:48:28.516,292.000000
2025-01-09 14:48:28.523,282.000000
2025-01-09 14:48:28.537,344.000000
2025-01-09 14:48:28.543,523.000000
2025-01-09 14:48:28.550,433.000000
2025-01-09 14:48:28.560,140.000000
2025-01-09 14:48:28.569,115.000000
2025-01-09 14:48:28.589,200.000000
2025-01-09 14:48:28.595,268.000000
2025-01-09 14:48:28.601,340.000000
2025-01-09 14:48:28.616,341.000000
2025-01-09 14:48:28.623,345.000000
2025-01-09 14:48:28.631,352.000000
2025-01-09 14:48:28.645,354.000000
2025-01-09 14:48:28.674,355.000000
2025-01-09 14:48:28.681,362.000000
2025-01-09 14:48:28.688,366.000000
2025-01-09 14:48:28.693,368.000000
2025-01-09 14:48:28.699,372.000000
2025-01-09 14:48:28.705,385.000000
2025-01-09 14:48:28.711,389.000000
2025-01-09 14:48:28.720,399.000000
2025-01-09 14:48:28.730,398.000000
2025-01-09 14:48:28.741,406.000000
2025-01-09 14:48:28.750,400.000000
2025-01-09 14:48:28.760,396.000000
2025-01-09 14:48:28.771,378.000000
2025-01-09 14:48:28.783,366.000000
2025-01-09 14:48:28.800,343.000000
2025-01-09 14:48:28.806,335.000000
2025-01-09 14:48:28.821,321.000000
2025-01-09 14:48:28.826,317.000000
2025-01-09 14:48:28.841,309.000000
2025-01-09 14:48:28.846,311.000000
2025-01-09 14:48:28.860,308.000000
2025-01-09 14:48:28.865,312.000000
2025-01-09 14:48:28.877,310.000000
2025-01-09 14:48:28.886,316.000000
2025-01-09 14:48:28.901,312.000000
2025-01-09 14:48:28.907,317.000000
2025-01-09 14:48:28.922,316.000000
2025-01-09 14:48:28.930,318.000000
2025-01-09 14:48:28.942,317.000000
2025-01-09 14:48:28.951,318.000000
2025-01-09 14:48:28.961,318.000000
2025-01-09 14:48:28.971,318.000000
2025-01-09 14:48:28.981,318.000000
2025-01-09 14:48:28.994,318.000000
2025-01-09 14:48:29.002,321.000000
2025-01-09 14:48:29.012,327.000000
2025-01-09 14:48:29.022,331.000000
2025-01-09 14:48:29.032,332.000000
2025-01-09 14:48:29.043,345.000000
2025-01-09 14:48:29.058,328.000000
2025-01-09 14:48:29.062,327.000000
2025-01-09 14:48:29.073,318.000000
2025-01-09 14:48:29.083,323.000000
2025-01-09 14:48:29.094,315.000000
2025-01-09 14:48:29.110,322.000000
2025-01-09 14:48:29.114,317.000000
2025-01-09 14:48:29.120,299.000000
2025-01-09 14:48:29.135,286.000000
2025-01-09 14:48:29.144,320.000000
2025-01-09 14:48:29.155,492.000000
2025-01-09 14:48:29.165,501.000000
2025-01-09 14:48:29.176,160.000000
2025-01-09 14:48:29.185,103.000000
2025-01-09 14:48:29.197,190.000000
2025-01-09 14:48:29.206,261.000000
2025-01-09 14:48:29.216,337.000000
2025-01-09 14:48:29.226,346.000000
2025-01-09 14:48:29.242,345.000000
2025-01-09 14:48:29.247,355.000000
2025-01-09 14:48:29.257,355.000000
2025-01-09 14:48:29.275,361.000000
2025-01-09 14:48:29.279,362.000000
2025-01-09 14:48:29.285,367.000000
2025-01-09 14:48:29.297,371.000000
2025-01-09 14:48:29.314,377.000000
2025-01-09 14:48:29.326,383.000000
2025-01-09 14:48:29.330,392.000000
2025-01-09 14:48:29.339,399.000000
2025-01-09 14:48:29.348,407.000000
2025-01-09 14:48:29.358,407.000000
2025-01-09 14:48:29.368,409.000000
2025-01-09 14:48:29.378,404.000000
2025-01-09 14:48:29.389,386.000000
2025-01-09 14:48:29.402,372.000000
2025-01-09 14:48:29.413,351.000000
2025-01-09 14:48:29.422,338.000000
2025-01-09 14:48:29.433,321.000000
2025-01-09 14:48:29.443,317.000000
2025-01-09 14:48:29.454,309.000000
2025-01-09 14:48:29.463,312.000000
2025-01-09 14:48:29.473,307.000000
2025-01-09 14:48:29.483,312.000000
2025-01-09 14:48:29.494,307.000000
2025-01-09 14:48:29.505,317.000000
2025-01-09 14:48:29.514,310.000000
2025-01-09 14:48:29.524,319.000000
2025-01-09 14:48:29.535,314.000000
2025-01-09 14:48:29.545,321.000000
2025-01-09 14:48:29.556,318.000000
2025-01-09 14:48:29.564,320.000000
2025-01-09 14:48:29.575,316.000000
2025-01-09 14:48:29.585,322.000000
2025-01-09 14:48:29.595,317.000000
2025-01-09 14:48:29.605,321.000000
2025-01-09 14:48:29.615,317.000000
2025-01-09 14:48:29.625,321.000000
2025-01-09 14:48:29.635,324.000000
2025-01-09 14:48:29.645,331.000000
2025-01-09 14:48:29.665,330.000000
2025-01-09 14:48:29.667,343.000000
2025-01-09 14:48:29.675,337.000000
2025-01-09 14:48:29.685,327.000000
2025-01-09 14:48:29.695,329.000000
2025-01-09 14:48:29.715,322.000000
2025-01-09 14:48:29.717,322.000000
2025-01-09 14:48:29.725,320.000000
2025-01-09 14:48:29.735,323.000000
2025-01-09 14:48:29.755,317.000000
2025-01-09 14:48:29.765,299.000000
2025-01-09 14:48:29.775,292.000000
2025-01-09 14:48:29.786,362.000000
2025-01-09 14:48:29.795,526.000000
2025-01-09 14:48:29.816,397.000000
2025-01-09 14:48:29.818,140.000000
2025-01-09 14:48:29.826,128.000000
2025-01-09 14:48:29.837,206.000000
2025-01-09 14:48:29.847,279.000000
2025-01-09 14:48:29.857,338.000000
2025-01-09 14:48:29.867,349.000000
2025-01-09 14:48:29.879,351.000000
2025-01-09 14:48:29.887,360.000000
2025-01-09 14:48:29.897,358.000000
2025-01-09 14:48:29.908,362.000000
2025-01-09 14:48:29.918,362.000000
